year,month,day,amo_index
1950,1,1,0.105
1950,2,1,-0.04
1950,3,1,-0.112
1950,4,1,-0.137
1950,5,1,-0.065
1950,6,1,-0.049
1950,7,1,-0.062
1950,8,1,0.014
1950,9,1,0.003
1950,10,1,-0.097
1950,11,1,0.073
1950,12,1,0.082
1951,1,1,0.096
1951,2,1,-0.008
1951,3,1,0.006
1951,4,1,0.162
1951,5,1,0.166
1951,6,1,0.283
1951,7,1,0.415
1951,8,1,0.297
1951,9,1,0.243
1951,10,1,0.252
1951,11,1,0.168
1951,12,1,0.168
1952,1,1,0.165
1952,2,1,0.176
1952,3,1,0.224
1952,4,1,0.184
1952,5,1,0.174
1952,6,1,0.376
1952,7,1,0.366
1952,8,1,0.397
1952,9,1,0.355
1952,10,1,0.348
1952,11,1,0.244
1952,12,1,0.334
1953,1,1,0.258
1953,2,1,0.178
1953,3,1,0.134
1953,4,1,0.306
1953,5,1,0.335
1953,6,1,0.268
1953,7,1,0.337
1953,8,1,0.251
1953,9,1,0.273
1953,10,1,0.141
1953,11,1,0.237
1953,12,1,0.251
1954,1,1,0.22
1954,2,1,0.088
1954,3,1,0.093
1954,4,1,-0.021
1954,5,1,0.062
1954,6,1,0.092
1954,7,1,-0.052
1954,8,1,-0.022
1954,9,1,-0.018
1954,10,1,-0.04
1954,11,1,-0.034
1954,12,1,-0.059
1955,1,1,0.068
1955,2,1,0.033
1955,3,1,0.034
1955,4,1,0.088
1955,5,1,0.169
1955,6,1,0.186
1955,7,1,0.261
1955,8,1,0.167
1955,9,1,0.195
1955,10,1,0.271
1955,11,1,0.378
1955,12,1,0.249
1956,1,1,0.179
1956,2,1,0.087
1956,3,1,0.006
1956,4,1,0.056
1956,5,1,-0.066
1956,6,1,-0.272
1956,7,1,-0.098
1956,8,1,-0.106
1956,9,1,-0.097
1956,10,1,-0.051
1956,11,1,-0.095
1956,12,1,0.011
1957,1,1,-0.089
1957,2,1,-0.114
1957,3,1,-0.027
1957,4,1,-0.082
1957,5,1,-0.129
1957,6,1,-0.02
1957,7,1,0.032
1957,8,1,0.194
1957,9,1,0.213
1957,10,1,0.141
1957,11,1,0.076
1957,12,1,0.071
1958,1,1,0.04
1958,2,1,0.18
1958,3,1,0.336
1958,4,1,0.338
1958,5,1,0.193
1958,6,1,0.213
1958,7,1,0.156
1958,8,1,0.152
1958,9,1,0.204
1958,10,1,0.143
1958,11,1,0.176
1958,12,1,0.211
1959,1,1,0.091
1959,2,1,0.106
1959,3,1,-0.036
1959,4,1,-0.013
1959,5,1,-0.002
1959,6,1,-0.068
1959,7,1,-0.041
1959,8,1,0.003
1959,9,1,0.116
1959,10,1,0.103
1959,11,1,0.042
1959,12,1,0.1
1960,1,1,0.167
1960,2,1,0.207
1960,3,1,0.079
1960,4,1,0.088
1960,5,1,0.293
1960,6,1,0.31
1960,7,1,0.261
1960,8,1,0.326
1960,9,1,0.201
1960,10,1,0.287
1960,11,1,0.241
1960,12,1,0.128
1961,1,1,0.051
1961,2,1,0.071
1961,3,1,0.139
1961,4,1,0.217
1961,5,1,0.184
1961,6,1,0.023
1961,7,1,-0.029
1961,8,1,0.026
1961,9,1,-0.007
1961,10,1,0.019
1961,11,1,0.057
1961,12,1,0.203
1962,1,1,0.139
1962,2,1,0.142
1962,3,1,0.155
1962,4,1,0.077
1962,5,1,0.013
1962,6,1,-0.081
1962,7,1,-0.018
1962,8,1,-0.073
1962,9,1,-0.006
1962,10,1,0.055
1962,11,1,0.036
1962,12,1,0.18
1963,1,1,0.147
1963,2,1,0.155
1963,3,1,0.123
1963,4,1,0.093
1963,5,1,-0.095
1963,6,1,-0.058
1963,7,1,-0.046
1963,8,1,-0.084
1963,9,1,-0.213
1963,10,1,-0.082
1963,11,1,-0.068
1963,12,1,-0.071
1964,1,1,-0.086
1964,2,1,0.01
1964,3,1,0.028
1964,4,1,-0.157
1964,5,1,0.03
1964,6,1,-0.007
1964,7,1,-0.155
1964,8,1,-0.245
1964,9,1,-0.231
1964,10,1,-0.282
1964,11,1,-0.177
1964,12,1,-0.132
1965,1,1,-0.21
1965,2,1,-0.188
1965,3,1,-0.089
1965,4,1,-0.108
1965,5,1,-0.11
1965,6,1,-0.138
1965,7,1,-0.199
1965,8,1,-0.221
1965,9,1,-0.233
1965,10,1,-0.259
1965,11,1,-0.288
1965,12,1,-0.135
1966,1,1,-0.087
1966,2,1,-0.001
1966,3,1,-0.021
1966,4,1,0.032
1966,5,1,-0.01
1966,6,1,-0.057
1966,7,1,-0.067
1966,8,1,-0.055
1966,9,1,-0.012
1966,10,1,0.002
1966,11,1,-0.009
1966,12,1,0.068
1967,1,1,0.07
1967,2,1,0.076
1967,3,1,-0.046
1967,4,1,-0.027
1967,5,1,-0.199
1967,6,1,-0.273
1967,7,1,-0.242
1967,8,1,-0.177
1967,9,1,-0.109
1967,10,1,-0.112
1967,11,1,-0.246
1967,12,1,-0.165
1968,1,1,-0.259
1968,2,1,-0.21
1968,3,1,-0.221
1968,4,1,-0.168
1968,5,1,-0.136
1968,6,1,-0.275
1968,7,1,-0.242
1968,8,1,-0.226
1968,9,1,-0.162
1968,10,1,-0.126
1968,11,1,-0.12
1968,12,1,-0.139
1969,1,1,-0.075
1969,2,1,0.092
1969,3,1,0.194
1969,4,1,0.136
1969,5,1,-0.002
1969,6,1,0.016
1969,7,1,0.081
1969,8,1,-0.114
1969,9,1,-0.12
1969,10,1,-0.198
1969,11,1,-0.137
1969,12,1,-0.044
1970,1,1,-0.023
1970,2,1,-0.061
1970,3,1,0.006
1970,4,1,0.007
1970,5,1,-0.059
1970,6,1,-0.195
1970,7,1,-0.213
1970,8,1,-0.153
1970,9,1,-0.151
1970,10,1,-0.209
1970,11,1,-0.253
1970,12,1,-0.222
1971,1,1,-0.259
1971,2,1,-0.305
1971,3,1,-0.323
1971,4,1,-0.426
1971,5,1,-0.339
1971,6,1,-0.376
1971,7,1,-0.362
1971,8,1,-0.448
1971,9,1,-0.379
1971,10,1,-0.248
1971,11,1,-0.256
1971,12,1,-0.321
1972,1,1,-0.331
1972,2,1,-0.393
1972,3,1,-0.452
1972,4,1,-0.339
1972,5,1,-0.482
1972,6,1,-0.501
1972,7,1,-0.388
1972,8,1,-0.396
1972,9,1,-0.316
1972,10,1,-0.299
1972,11,1,-0.29
1972,12,1,-0.364
1973,1,1,-0.387
1973,2,1,-0.406
1973,3,1,-0.357
1973,4,1,-0.277
1973,5,1,-0.182
1973,6,1,-0.188
1973,7,1,-0.117
1973,8,1,-0.146
1973,9,1,-0.144
1973,10,1,-0.229
1973,11,1,-0.222
1973,12,1,-0.251
1974,1,1,-0.289
1974,2,1,-0.296
1974,3,1,-0.414
1974,4,1,-0.536
1974,5,1,-0.513
1974,6,1,-0.46
1974,7,1,-0.528
1974,8,1,-0.481
1974,9,1,-0.519
1974,10,1,-0.521
1974,11,1,-0.439
1974,12,1,-0.374
1975,1,1,-0.286
1975,2,1,-0.351
1975,3,1,-0.322
1975,4,1,-0.358
1975,5,1,-0.401
1975,6,1,-0.308
1975,7,1,-0.285
1975,8,1,-0.198
1975,9,1,-0.349
1975,10,1,-0.367
1975,11,1,-0.354
1975,12,1,-0.335
1976,1,1,-0.398
1976,2,1,-0.454
1976,3,1,-0.507
1976,4,1,-0.439
1976,5,1,-0.501
1976,6,1,-0.497
1976,7,1,-0.32
1976,8,1,-0.198
1976,9,1,-0.206
1976,10,1,-0.306
1976,11,1,-0.429
1976,12,1,-0.445
1977,1,1,-0.402
1977,2,1,-0.346
1977,3,1,-0.196
1977,4,1,-0.23
1977,5,1,-0.183
1977,6,1,-0.12
1977,7,1,-0.119
1977,8,1,-0.158
1977,9,1,-0.245
1977,10,1,-0.237
1977,11,1,-0.156
1977,12,1,-0.218
1978,1,1,-0.119
1978,2,1,-0.16
1978,3,1,-0.171
1978,4,1,-0.208
1978,5,1,-0.217
1978,6,1,-0.346
1978,7,1,-0.289
1978,8,1,-0.24
1978,9,1,-0.203
1978,10,1,-0.22
1978,11,1,-0.132
1978,12,1,-0.195
1979,1,1,-0.205
1979,2,1,-0.164
1979,3,1,-0.241
1979,4,1,-0.25
1979,5,1,-0.13
1979,6,1,-0.055
1979,7,1,-0.107
1979,8,1,-0.128
1979,9,1,-0.122
1979,10,1,-0.1
1979,11,1,-0.098
1979,12,1,-0.072
1980,1,1,-0.014
1980,2,1,-0.091
1980,3,1,-0.151
1980,4,1,-0.013
1980,5,1,0.117
1980,6,1,0.096
1980,7,1,0.038
1980,8,1,0.011
1980,9,1,-0.02
1980,10,1,-0.074
1980,11,1,-0.209
1980,12,1,-0.261
1981,1,1,-0.189
1981,2,1,-0.188
1981,3,1,-0.007
1981,4,1,-0.103
1981,5,1,-0.091
1981,6,1,-0.07
1981,7,1,-0.102
1981,8,1,-0.123
1981,9,1,-0.044
1981,10,1,-0.194
1981,11,1,-0.144
1981,12,1,-0.014
1982,1,1,-0.089
1982,2,1,-0.086
1982,3,1,-0.088
1982,4,1,-0.19
1982,5,1,-0.199
1982,6,1,-0.192
1982,7,1,-0.236
1982,8,1,-0.317
1982,9,1,-0.315
1982,10,1,-0.379
1982,11,1,-0.425
1982,12,1,-0.388
1983,1,1,-0.306
1983,2,1,-0.112
1983,3,1,0.073
1983,4,1,0.051
1983,5,1,-0.056
1983,6,1,-0.062
1983,7,1,-0.023
1983,8,1,-0.166
1983,9,1,-0.224
1983,10,1,-0.203
1983,11,1,-0.166
1983,12,1,-0.011
1984,1,1,-0.114
1984,2,1,-0.096
1984,3,1,-0.133
1984,4,1,-0.165
1984,5,1,-0.174
1984,6,1,-0.333
1984,7,1,-0.274
1984,8,1,-0.234
1984,9,1,-0.217
1984,10,1,-0.352
1984,11,1,-0.432
1984,12,1,-0.326
1985,1,1,-0.363
1985,2,1,-0.338
1985,3,1,-0.365
1985,4,1,-0.409
1985,5,1,-0.346
1985,6,1,-0.136
1985,7,1,-0.161
1985,8,1,-0.29
1985,9,1,-0.256
1985,10,1,-0.254
1985,11,1,-0.304
1985,12,1,-0.345
1986,1,1,-0.352
1986,2,1,-0.284
1986,3,1,-0.301
1986,4,1,-0.333
1986,5,1,-0.237
1986,6,1,-0.27
1986,7,1,-0.258
1986,8,1,-0.281
1986,9,1,-0.229
1986,10,1,-0.327
1986,11,1,-0.406
1986,12,1,-0.38
1987,1,1,-0.287
1987,2,1,-0.227
1987,3,1,-0.042
1987,4,1,0.02
1987,5,1,0.059
1987,6,1,0.194
1987,7,1,0.27
1987,8,1,0.27
1987,9,1,0.185
1987,10,1,0.037
1987,11,1,-0.079
1987,12,1,0.034
1988,1,1,-0.051
1988,2,1,-0.126
1988,3,1,-0.021
1988,4,1,0.04
1988,5,1,0.126
1988,6,1,0.154
1988,7,1,0.098
1988,8,1,-0.02
1988,9,1,-0.107
1988,10,1,-0.183
1988,11,1,-0.16
1988,12,1,-0.177
1989,1,1,-0.234
1989,2,1,-0.169
1989,3,1,-0.266
1989,4,1,-0.302
1989,5,1,-0.16
1989,6,1,0.078
1989,7,1,0.164
1989,8,1,0.1
1989,9,1,-0.108
1989,10,1,-0.136
1989,11,1,-0.163
1989,12,1,-0.166
1990,1,1,-0.312
1990,2,1,-0.175
1990,3,1,-0.192
1990,4,1,-0.131
1990,5,1,-0.072
1990,6,1,-0.07
1990,7,1,-0.035
1990,8,1,0.039
1990,9,1,0.133
1990,10,1,0.099
1990,11,1,-0.067
1990,12,1,-0.05
1991,1,1,-0.209
1991,2,1,-0.131
1991,3,1,-0.083
1991,4,1,-0.147
1991,5,1,-0.168
1991,6,1,-0.144
1991,7,1,-0.122
1991,8,1,-0.123
1991,9,1,-0.052
1991,10,1,-0.277
1991,11,1,-0.276
1991,12,1,-0.229
1992,1,1,-0.205
1992,2,1,-0.109
1992,3,1,-0.108
1992,4,1,-0.199
1992,5,1,-0.237
1992,6,1,-0.166
1992,7,1,-0.235
1992,8,1,-0.396
1992,9,1,-0.385
1992,10,1,-0.316
1992,11,1,-0.35
1992,12,1,-0.3
1993,1,1,-0.256
1993,2,1,-0.202
1993,3,1,-0.26
1993,4,1,-0.189
1993,5,1,-0.18
1993,6,1,-0.197
1993,7,1,-0.293
1993,8,1,-0.245
1993,9,1,-0.181
1993,10,1,-0.259
1993,11,1,-0.335
1993,12,1,-0.31
1994,1,1,-0.313
1994,2,1,-0.326
1994,3,1,-0.296
1994,4,1,-0.217
1994,5,1,-0.224
1994,6,1,-0.239
1994,7,1,-0.248
1994,8,1,-0.252
1994,9,1,-0.169
1994,10,1,-0.076
1994,11,1,-0.037
1994,12,1,-0.108
1995,1,1,-0.08
1995,2,1,-0.057
1995,3,1,-0.001
1995,4,1,0.058
1995,5,1,0.254
1995,6,1,0.346
1995,7,1,0.296
1995,8,1,0.165
1995,9,1,0.036
1995,10,1,0.084
1995,11,1,0.109
1995,12,1,0.024
1996,1,1,-0.028
1996,2,1,-0.05
1996,3,1,-0.075
1996,4,1,-0.008
1996,5,1,-0.083
1996,6,1,-0.141
1996,7,1,-0.123
1996,8,1,-0.026
1996,9,1,-0.02
1996,10,1,-0.163
1996,11,1,-0.192
1996,12,1,-0.173
1997,1,1,-0.109
1997,2,1,-0.054
1997,3,1,-0.013
1997,4,1,-0.011
1997,5,1,0.021
1997,6,1,-0.01
1997,7,1,0.042
1997,8,1,-0.003
1997,9,1,0.091
1997,10,1,0.132
1997,11,1,0.033
1997,12,1,0.113
1998,1,1,0.112
1998,2,1,0.273
1998,3,1,0.303
1998,4,1,0.273
1998,5,1,0.365
1998,6,1,0.471
1998,7,1,0.469
1998,8,1,0.494
1998,9,1,0.394
1998,10,1,0.363
1998,11,1,0.298
1998,12,1,0.261
1999,1,1,0.032
1999,2,1,0.039
1999,3,1,0.05
1999,4,1,0.033
1999,5,1,0.144
1999,6,1,0.161
1999,7,1,0.179
1999,8,1,0.288
1999,9,1,0.166
1999,10,1,-0.002
1999,11,1,-0.067
1999,12,1,-0.004
2000,1,1,-0.102
2000,2,1,-0.057
2000,3,1,0.085
2000,4,1,0.023
2000,5,1,0.086
2000,6,1,-0.037
2000,7,1,0.053
2000,8,1,0.084
2000,9,1,0.083
2000,10,1,-0.059
2000,11,1,-0.072
2000,12,1,-0.146
2001,1,1,-0.146
2001,2,1,-0.046
2001,3,1,-0.005
2001,4,1,-0.031
2001,5,1,-0.028
2001,6,1,0.179
2001,7,1,0.116
2001,8,1,0.158
2001,9,1,0.267
2001,10,1,0.232
2001,11,1,0.137
2001,12,1,0.194
2002,1,1,0.162
2002,2,1,0.146
2002,3,1,0.125
2002,4,1,0.008
2002,5,1,-0.068
2002,6,1,-0.136
2002,7,1,-0.085
2002,8,1,0.087
2002,9,1,0.06
2002,10,1,0.092
2002,11,1,0.0
2002,12,1,-0.015
2003,1,1,0.031
2003,2,1,-0.032
2003,3,1,0.093
2003,4,1,0.06
2003,5,1,0.132
2003,6,1,0.186
2003,7,1,0.257
2003,8,1,0.396
2003,9,1,0.432
2003,10,1,0.407
2003,11,1,0.204
2003,12,1,0.205
2004,1,1,0.191
2004,2,1,0.19
2004,3,1,0.138
2004,4,1,0.089
2004,5,1,-0.014
2004,6,1,0.158
2004,7,1,0.208
2004,8,1,0.297
2004,9,1,0.221
2004,10,1,0.222
2004,11,1,0.201
2004,12,1,0.168
2005,1,1,0.091
2005,2,1,0.106
2005,3,1,0.264
2005,4,1,0.272
2005,5,1,0.273
2005,6,1,0.307
2005,7,1,0.427
2005,8,1,0.42
2005,9,1,0.399
2005,10,1,0.218
2005,11,1,0.12
2005,12,1,0.196
2006,1,1,0.104
2006,2,1,0.055
2006,3,1,0.04
2006,4,1,0.177
2006,5,1,0.288
2006,6,1,0.313
2006,7,1,0.354
2006,8,1,0.381
2006,9,1,0.344
2006,10,1,0.314
2006,11,1,0.269
2006,12,1,0.151
2007,1,1,0.151
2007,2,1,0.197
2007,3,1,0.107
2007,4,1,0.139
2007,5,1,0.091
2007,6,1,0.068
2007,7,1,0.109
2007,8,1,0.035
2007,9,1,0.078
2007,10,1,0.138
2007,11,1,0.156
2007,12,1,0.091
2008,1,1,0.01
2008,2,1,0.108
2008,3,1,0.138
2008,4,1,0.022
2008,5,1,0.152
2008,6,1,0.236
2008,7,1,0.186
2008,8,1,0.155
2008,9,1,0.178
2008,10,1,0.082
2008,11,1,-0.019
2008,12,1,-0.002
2009,1,1,-0.079
2009,2,1,-0.185
2009,3,1,-0.18
2009,4,1,-0.151
2009,5,1,-0.082
2009,6,1,0.101
2009,7,1,0.208
2009,8,1,0.132
2009,9,1,0.037
2009,10,1,0.144
2009,11,1,0.049
2009,12,1,0.062
2010,1,1,0.019
2010,2,1,0.157
2010,3,1,0.267
2010,4,1,0.405
2010,5,1,0.439
2010,6,1,0.427
2010,7,1,0.429
2010,8,1,0.505
2010,9,1,0.428
2010,10,1,0.303
2010,11,1,0.215
2010,12,1,0.187
2011,1,1,0.123
2011,2,1,0.087
2011,3,1,0.034
2011,4,1,0.071
2011,5,1,0.131
2011,6,1,0.157
2011,7,1,0.071
2011,8,1,0.126
2011,9,1,0.123
2011,10,1,0.042
2011,11,1,-0.092
2011,12,1,-0.066
2012,1,1,-0.086
2012,2,1,-0.017
2012,3,1,0.005
2012,4,1,0.059
2012,5,1,0.143
2012,6,1,0.279
2012,7,1,0.354
2012,8,1,0.41
2012,9,1,0.427
2012,10,1,0.308
2012,11,1,0.144
2012,12,1,0.12
2013,1,1,0.107
2013,2,1,0.094
2013,3,1,0.137
2013,4,1,0.115
2013,5,1,0.08
2013,6,1,0.025
2013,7,1,0.169
2013,8,1,0.173
2013,9,1,0.233
2013,10,1,0.325
2013,11,1,0.107
2013,12,1,0.015
2014,1,1,-0.083
2014,2,1,-0.064
2014,3,1,-0.103
2014,4,1,-0.116
2014,5,1,-0.023
2014,6,1,0.04
2014,7,1,0.2
2014,8,1,0.313
2014,9,1,0.288
2014,10,1,0.27
2014,11,1,0.043
2014,12,1,0.037
2015,1,1,-0.03
2015,2,1,-0.026
2015,3,1,-0.151
2015,4,1,-0.093
2015,5,1,0.023
2015,6,1,0.007
2015,7,1,0.11
2015,8,1,0.156
2015,9,1,0.278
2015,10,1,0.302
2015,11,1,0.164
2015,12,1,0.207
2016,1,1,0.209
2016,2,1,0.133
2016,3,1,0.166
2016,4,1,0.155
2016,5,1,0.322
2016,6,1,0.387
2016,7,1,0.41
2016,8,1,0.434
2016,9,1,0.435
2016,10,1,0.358
2016,11,1,0.368
2016,12,1,0.313
2017,1,1,0.203
2017,2,1,0.204
2017,3,1,0.145
2017,4,1,0.26
2017,5,1,0.292
2017,6,1,0.285
2017,7,1,0.28
2017,8,1,0.287
2017,9,1,0.328
2017,10,1,0.411
2017,11,1,0.329
2017,12,1,0.341
2018,1,1,0.15
2018,2,1,0.04
2018,3,1,0.109
2018,4,1,0.041
2018,5,1,-0.023
2018,6,1,-0.034
2018,7,1,-0.005
2018,8,1,0.09
2018,9,1,0.139
2018,10,1,0.121
2018,11,1,-0.143
2018,12,1,-0.083
2019,1,1,-0.037
2019,2,1,0.058
2019,3,1,0.099
2019,4,1,0.101
2019,5,1,0.065
2019,6,1,0.151
2019,7,1,0.329
2019,8,1,0.315
2019,9,1,0.223
2019,10,1,0.136
2019,11,1,0.087
2019,12,1,0.142
